Rollensatz;Anwendungsrolle;Benutzer;Gruppe;Gültig von;Gültig bis
Experte;Auftrag_Belegwesen;;KR_ANW_BELEG;;
Experte;Auftrag_Buchungen_lesen;;KR_EXT_AUFT;;
Experte;Arbeitszeiterfassung_lesen;;KR_EXT_AUFT;;
Experte;Auftrag_Arbeit_lesen;;KR_EXT_AUFT;;
Experte;Auftrag_Artikel_Lager_lesen;;KR_EXT_AUFT;;
Experte;Auftrag_Belegwesen_lesen;;KR_EXT_AUFT;;
Experte;Auftrag_Informationen_lesen;;KR_EXT_AUFT;;
Experte;Auftrag_Maschinen_lesen;;KR_EXT_AUFT;;
Experte;Auftrag_Planung_lesen;;KR_EXT_AUFT;;
Experte;Auftrag_Verwaltung_lesen;;KR_EXT_AUFT;;
Experte;Inventur_lesen;;KR_EXT_AUFT;;
Experte;Leergutverwaltung_lesen;;KR_EXT_AUFT;;
Experte;Strukturdefintionen_lesen;;KR_EXT_AUFT;;
Experte;Tankabrechnung_lesen;;KR_EXT_AUFT;;
Experte;Controlling_Auftragsmanagement;;KR_EXT_AUFT;;
Experte;Posteingang_lesen;;KR_EXT_BASIS;;
Experte;Verwaltungsstruktur_Organisationsstruktur_lesen;;KR_EXT_BASIS;;
Experte;Controlling_Basis;;KR_EXT_BASIS;;
Experte;Beitragsmanagement_lesen;;KR_EXT_BEITR;;
Experte;Grundstueckskataster _lesen;;KR_EXT_BEITR;;
Experte;Controlling_Beitragsmanagement;;KR_EXT_BEITR;;
Experte;Gebuehrenerfassung_lesen;;KR_EXT_DEBI;;
Experte;Aussetzung_Saeumnis_lesen;;KR_EXT_DEBI;;
Experte;Vertragskonten_lesen;;KR_EXT_DEBI;;
Experte;Sicherheitsleistung_lesen;;KR_EXT_DEBI;;
Experte;Debitor_Ausbuchungen_EWB_lesen;;KR_EXT_DEBI;;
Experte;Bankclearing_lesen;;KR_EXT_DEBI;;
Experte;Ratenvereinbarungen_lesen;;KR_EXT_DEBI;;
Experte;Debitor_Auszifferung_lesen;;KR_EXT_DEBI;;
Experte;Debitor_Zahlungslaeufe_lesen;;KR_EXT_DEBI;;
Experte;Schnittstellen_gerichtliches_Mahnwesen_lesen;;KR_EXT_DEBI;;
Experte;Mahnwesen_lesen;;KR_EXT_DEBI;;
Experte;Debitor_Offene_Posten_lesen;;KR_EXT_DEBI;;
Experte;Controlling_Debitoren;;KR_EXT_DEBI;;
Experte;Anlagenbuchhaltung_lesen;;KR_EXT_FIBU;;
Experte;Kostenrechnung_lesen;;KR_EXT_FIBU;;
Experte;Periodensaldenlaeufe_lesen;;KR_EXT_FIBU;;
Experte;Hauptbuch_Kasse_lesen;;KR_EXT_FIBU;;
Experte;Hauptbuch_Buchungsstammdaten_lesen;;KR_EXT_FIBU;;
Experte;Hauptbuch_Buchungserfassung_lesen;;KR_EXT_FIBU;;
Experte;Hauptbuch_Abrechnungszeitraeume_lesen;;KR_EXT_FIBU;;
Experte;Hauptbuch_Betriebsstruktur_lesen;;KR_EXT_FIBU;;
Experte;Umsatzsteuervoranmeldung_lesen;;KR_EXT_FIBU;;
Experte;Buchhalterische_Schnittstellen_lesen;;KR_EXT_FIBU;;
Experte;Hauptbuch_Berichtswesen_lesen;;KR_EXT_FIBU;;
Experte;Controlling_Hauptbuch;;KR_EXT_FIBU;;
Experte;Controlling_Kostenrechnung;;KR_EXT_FIBU;;
Experte;Controlling_Anlagenbuchhaltung;;KR_EXT_FIBU;;
Experte;Hauptbuch_Folgebuchungen_lesen;;KR_EXT_FIBU;;
Experte;Rechnungseingang_lesen;;KR_EXT_KREDI;;
Experte;Kreditor_Auszifferung_lesen;;KR_EXT_KREDI;;
Experte;Kreditor_Ausbuchungen_lesen;;KR_EXT_KREDI;;
Experte;Kreditor_Zahlungslaeufe_lesen;;KR_EXT_KREDI;;
Experte;Kreditor_Offene_Posten_lesen;;KR_EXT_KREDI;;
Experte;Controlling_Kreditoren;;KR_EXT_KREDI;;
Experte;Controlling_Rechnungseingang;;KR_EXT_KREDI;;
Experte;Frontoffice_lesen;;KR_EXT_KUND;;
Experte;CRM_lesen;;KR_EXT_KUND;;
Experte;Controlling_CRM;;KR_EXT_KUND;;
Experte;Controlling_Kundendaten;;KR_EXT_KUND;;
Experte;Auftrag_Belegwesen_lesen;;KR_G_GJ;;
Experte;Debitor_Offene_Posten_lesen;;KR_G_GJ;;
Experte;Beitragsmanagement_lesen;;KR_G_GJ;;
Experte;Frontoffice_lesen;;KR_G_GJ;;
Experte;Auftrag_Schnittstellen;;KR_G_GM;;
Experte;Auftrag_Buchungen_lesen;;KR_G_GM;;
Experte;Arbeitszeiterfassung_lesen;;KR_G_GM;;
Experte;Auftrag_Arbeit_lesen;;KR_G_GM;;
Experte;Auftrag_Artikel_Lager_lesen;;KR_G_GM;;
Experte;Auftrag_Belegwesen_lesen;;KR_G_GM;;
Experte;Auftrag_Informationen_lesen;;KR_G_GM;;
Experte;Auftrag_Maschinen_lesen;;KR_G_GM;;
Experte;Auftrag_Planung_lesen;;KR_G_GM;;
Experte;Auftrag_Verwaltung_lesen;;KR_G_GM;;
Experte;Instandhaltungsmanagement_lesen;;KR_G_GM;;
Experte;Inventur_lesen;;KR_G_GM;;
Experte;Strukturdefintionen_lesen;;KR_G_GM;;
Experte;Technische_Auftraege_lesen;;KR_G_GM;;
Experte;Technische_Messwerte_lesen;;KR_G_GM;;
Experte;Turnustausch_lesen;;KR_G_GM;;
Experte;Rechnungseingang_lesen;;KR_G_GM;;
Experte;Gebuehrenerfassung_lesen;;KR_G_GM;;
Experte;Aussetzung_Saeumnis_lesen;;KR_G_GM;;
Experte;Vertragskonten_lesen;;KR_G_GM;;
Experte;Sicherheitsleistung_lesen;;KR_G_GM;;
Experte;Debitor_Ausbuchungen_EWB_lesen;;KR_G_GM;;
Experte;Bankclearing_lesen;;KR_G_GM;;
Experte;Ratenvereinbarungen_lesen;;KR_G_GM;;
Experte;Kreditor_Auszifferung_lesen;;KR_G_GM;;
Experte;Debitor_Auszifferung_lesen;;KR_G_GM;;
Experte;Kreditor_Ausbuchungen_lesen;;KR_G_GM;;
Experte;Debitor_Zahlungslaeufe_lesen;;KR_G_GM;;
Experte;Kreditor_Zahlungslaeufe_lesen;;KR_G_GM;;
Experte;Mahnwesen_lesen;;KR_G_GM;;
Experte;Kreditor_Offene_Posten_lesen;;KR_G_GM;;
Experte;Debitor_Offene_Posten_lesen;;KR_G_GM;;
Experte;Beitragsmanagement_lesen;;KR_G_GM;;
Experte;Anlagenbuchhaltung_lesen;;KR_G_GM;;
Experte;Kostenrechnung_lesen;;KR_G_GM;;
Experte;Periodensaldenlaeufe_lesen;;KR_G_GM;;
Experte;Hauptbuch_Kasse_lesen;;KR_G_GM;;
Experte;Hauptbuch_Buchungsstammdaten_lesen;;KR_G_GM;;
Experte;Hauptbuch_Buchungserfassung_lesen;;KR_G_GM;;
Experte;Hauptbuch_Abrechnungszeitraeume_lesen;;KR_G_GM;;
Experte;Hauptbuch_Betriebsstruktur_lesen;;KR_G_GM;;
Experte;Hauptbuch_Sonderfunktionen_lesen;;KR_G_GM;;
Experte;Umsatzsteuervoranmeldung_lesen;;KR_G_GM;;
Experte;Buchhalterische_Schnittstellen_lesen;;KR_G_GM;;
Experte;Hauptbuch_Berichtswesen_lesen;;KR_G_GM;;
Experte;Grundstueckskataster _lesen;;KR_G_GM;;
Experte;Dokumentenarchivadministrator_lesen;;KR_G_GM;;
Experte;Anwendungsadministrator_lesen;;KR_G_GM;;
Experte;Benutzeradministrator_lesen;;KR_G_GM;;
Experte;Verwaltungsstruktur_Organisationsstruktur_lesen;;KR_G_GM;;
Experte;Dokumentenadministrator _lesen;;KR_G_GM;;
Experte;CRM_Keyuser;;KR_G_GM;;
Experte;Kundensegmentierung_Keyuser;;KR_G_GM;;
Experte;Frontoffice_lesen;;KR_G_GM;;
Experte;Vertriebskanalmanagement_Keyuser;;KR_G_GM;;
Experte;Controlling_CRM;;KR_G_GM;;
Experte;Controlling_Kundendaten;;KR_G_GM;;
Experte;Controlling_Dienste;;KR_G_GM;;
Experte;Controlling_Basis;;KR_G_GM;;
Experte;Process_Builder_Keyuser;;KR_G_GM;;
Experte;Process_Builder_Steuerung;;KR_G_GM;;
Experte;Aktivitaetenmanagement_Keyuser;;KR_G_GM;;
Experte;Beschwerdemanagement_Keyuser;;KR_G_GM;;
Experte;CRM_Schnittstelle;;KR_G_GM;;
Experte;Controlling_Hauptbuch;;KR_G_GM;;
Experte;Controlling_Kostenrechnung;;KR_G_GM;;
Experte;Controlling_Anlagenbuchhaltung;;KR_G_GM;;
Experte;Hauptbuch_Folgebuchungen_lesen;;KR_G_GM;;
Experte;Controlling_Debitoren;;KR_G_GM;;
Experte;Controlling_Kreditoren;;KR_G_GM;;
Experte;Controlling_Rechnungseingang;;KR_G_GM;;
Experte;Controlling_Beitragsmanagement;;KR_G_GM;;
Experte;Controlling_Dezentrale_Anlagen;;KR_G_GM;;
Experte;Controlling_Auftragsmanagement;;KR_G_GM;;
Experte;Qualifikationsverfahren_lesen;;KR_G_GM;;
Kompakt;Auftragsmanagement;;KR_KP_GL;;
Experte;Gebuehrenerfassung_lesen;;KR_KP_GL;;
Experte;Aussetzung_Saeumnis_lesen;;KR_KP_GL;;
Experte;Vertragskonten_lesen;;KR_KP_GL;;
Experte;Sicherheitsleistung_lesen;;KR_KP_GL;;
Experte;Debitor_Ausbuchungen_EWB_lesen;;KR_KP_GL;;
Experte;Bankclearing_lesen;;KR_KP_GL;;
Experte;Ratenvereinbarungen_lesen;;KR_KP_GL;;
Experte;Kreditor_Auszifferung_lesen;;KR_KP_GL;;
Experte;Debitor_Auszifferung_lesen;;KR_KP_GL;;
Experte;Kreditor_Ausbuchungen_lesen;;KR_KP_GL;;
