Rollensatz;Anwendungsrolle;Benutzer;Gruppe;Gültig von;Gültig bis
Kompakt;Kreditor;;KR_EXT_GFMWVE;;
Kompakt;Finanzbuchhaltung;;KR_EXT_GFMWVE;;
Kompakt;Debitor;;KR_EXT_GFMWVE;;
Kompakt;Auftragsmanagement;;KR_EXT_GFMWVE;;
Experte;Rechnungseingang_Keyuser;;KR_KRB_GL;;
Experte;Gebuehrenerfassung_Keyuser;;KR_KRB_GL;;
Experte;Debitor_Ausbuchungen_EWB_Keyuser;;KR_KRB_GL;;
Experte;Bankclearing_Keyuser;;KR_KRB_GL;;
Experte;Ratenvereinbarungen_lesen;;KR_KRB_GL;;
Experte;Kreditor_Auszifferung_Keyuser;;KR_KRB_GL;;
Experte;Debitor_Auszifferung_Keyuser;;KR_KRB_GL;;
Experte;Kreditor_Ausbuchungen_Keyuser;;KR_KRB_GL;;
Experte;Kreditor_Offene_Posten_Keyuser;;KR_KRB_GL;;
Experte;Debitor_Offene_Posten_Keyuser;;KR_KRB_GL;;
Experte;Debitor_Zahlungslaeufe_Keyuser;;KR_KRB_GL;;
Experte;Kreditor_Zahlungslaeufe_Keyuser;;KR_KRB_GL;;
Experte;Mahnwesen_lesen;;KR_KRB_GL;;
Experte;Umsatzstatistik;;KR_KRB_GL;;
Experte;Dokumentenadministrator _lesen;;KR_KRB_GL;;
Experte;Kostenrechnung_lesen;;KR_KRB_GL;;
Experte;Periodensaldenlaeufe_lesen;;KR_KRB_GL;;
Experte;Buchhalterische_Schnittstellen_Keyuser;;KR_KRB_GL;;
Experte;Hauptbuch_Berichtswesen_Keyuser;;KR_KRB_GL;;
Experte;Hauptbuch_Kasse_Keyuser;;KR_KRB_GL;;
Experte;Hauptbuch_Abrechnungszeitraeume_Keyuser;;KR_KRB_GL;;
Experte;Hauptbuch_Buchungsstammdaten_Keyuser;;KR_KRB_GL;;
Experte;Hauptbuch_Buchungserfassung_Keyuser;;KR_KRB_GL;;
Experte;Hauptbuch_Betriebsstruktur_Keyuser;;KR_KRB_GL;;
Experte;Umsatzsteuervoranmeldung_Keyuser;;KR_KRB_GL;;
Experte;Belege_buchen_Keyuser;;KR_KRB_GL;;
Experte;Auftrag_Informationen;;KR_KRB_GL;;
Experte;Auftrag_Belegwesen;;KR_KRB_GL;;
Experte;Auftrag_Arbeit_lesen;;KR_KRB_GL;;
Experte;Auftrag_Buchungen;;KR_KRB_GL;;
Experte;Inventur_lesen;;KR_KRB_GL;;
Experte;Controlling_Basis;;KR_KRB_GL;;
Experte;Batchjob_Keyuser;;KR_KRB_GL;;
Experte;DSGVO_Verantwortung;;KR_KRB_GL;;
Experte;Controlling_Hauptbuch;;KR_KRB_GL;;
Experte;Controlling_Anlagenbuchhaltung;;KR_KRB_GL;;
Experte;Controlling_Debitoren;;KR_KRB_GL;;
Experte;Controlling_Kreditoren;;KR_KRB_GL;;
Experte;Controlling_Rechnungseingang;;KR_KRB_GL;;
Experte;Controlling_Auftragsmanagement;;KR_KRB_GL;;
Experte;Rechnungseingang_buchen;;KR_KRB_SB1;;
Experte;Gebuehrenerfassung_buchen;;KR_KRB_SB1;;
Experte;Debitor_Ausbuchungen_EWB_buchen;;KR_KRB_SB1;;
Experte;Bankclearing_Keyuser;;KR_KRB_SB1;;
Experte;Ratenvereinbarungen_Keyuser;;KR_KRB_SB1;;
Experte;Debitor_Auszifferung;;KR_KRB_SB1;;
Experte;Kreditor_Auszifferung_lesen;;KR_KRB_SB1;;
Experte;Kreditor_Ausbuchungen_erfassen;;KR_KRB_SB1;;
Experte;Debitor_Zahlungslaeufe_Keyuser;;KR_KRB_SB1;;
Experte;Kreditor_Zahlungslaeufe_Keyuser;;KR_KRB_SB1;;
Experte;Mahnwesen_lesen;;KR_KRB_SB1;;
